Number;Draw no.;Genus;Species;Subspecies;Country;Locality;Key locality;OrigLatitude;OrigLongitude;Latitude;Longitude;Habitat;Collector/Leg.;Day;Month;Year;DBL no.;GMB no.;Type;Notes (1);Notes (2);Box no.
3376;67;Bulinus;senegalensis;;Nigeria;Lake Kainji at Rofia;Kainji  Lake ;10° 22′ 0N;4° 33′ 0E;10.36667;4.55000;;Dazo;;10;1970;;;;;;
3377;67;Bulinus;camerunensis;;Cameroon;Lake Barombi, Kotto;Kotto;4° 10' 60N;9° 37' 60E;4.18330;9.63330;Lake;Moore;;3;1955;;;Type;;;
3379;67;Bulinus;ontusus;;Chad;Goz Beïda near the sudanese border;Goz Beïda;13° 49' 60N;21° 28' 60E;13.83330;21.48330;;JM Watson;;;1967;;;Type;;;
3381;67;Bulinus;camerunensis;;Cameroon;Lake Barombi, Kotto;Kotto;4° 10' 60N;9° 37' 60E;4.18330;9.63330;Lake;Moore;;3;1955;;;Paratype;;;
3382;67;Bulinus;tropicus;toroensis;Uganda;Fort Portal, crater lake;Fort Portal;0° 41' 38N;30° 15' 59E;0.69390;30.26640;;GMB;7;2;1951;;;Type;;;
3384;67;Bulinus;globosus;ugandae;Uganda;Jinja Bay, Lake Victoria;Jinja;0° 22' 60N;32° 32' 60E;0.38330;32.55000;Lake;Cridland;;3;1952;;;Paratype;;;
3387;67;Bulinus;umbilicatus;;Sudan;Zalingei, Darfur;Zalingei;12° 54' 0N;23° 28' 60E;12.90000;23.48330;Darfur;Watson;;;1966;;;Type;;;
3388;67;Bulinus;hightoni;;Kenya;Orma Ali near Hola;Hola;1° 30' 13S;40° 1' 44E;-1.50360;40.02890;Hola;Highton;13;1;1975;;;Paratype;;;
3389;67;Bulinus;nasutus;productus;Uganda;Lake Kyoga at Bugondo;Bugondo;1° 35' 26N;33° 18' 2E;1.59060;33.30060;;Cridland;8;9;1950;;;Type;;;
3390;67;Bulinus;nasutus;productus;Uganda;Lake Kyoga at Bugondo;Bugondo;1° 35' 26N;33° 18' 2E;1.59060;33.30060;;Cridland;8;9;1950;;;Paratype;;;
4077;1;Pedipes;afer;;Africa;W Africa;W Africa;;;;;;;;;;;;;;;
4090;1;Ovatella (O.);firminii;;Tunisia;Djerba Island;Djerba Island;33° 48' 0N;10° 54' 0E;33.80000;10.90000;;GMB;;12;1967;;;;;;
4092;1;Ovatella;lossoni;;Egypt;Ain Abu Shuruf, Siwa Oasis;Ain Abu Shuruf;29°11'0'' N;25°45'0'' E;;;;Ibrahim;14;4;1976;;;;;;
4093;1;Alexia;ciliata;;Morocco;Bouregreg River, Rabat;Rabat;34° 1' 31N;6° 50' 10W;34.02530;-6.83610;River;Cridland;;3;1967;;;;;;
4101;1;Tralia;ovula;;Gabon;Libreville;Libreville;0° 22' 60N;9° 26' 60E;0.38330;9.45000;;Benneke;25;12;1970;;;;;;
4105;1;Melampus;liodus;;Seyshelles;Mahe, Baie Lazare;Baie Lazare;;;-4.75000;55.48333;Mahe;GMB;;11;1973;;;;;;
4116;1;Melampus;semiplicatus;;Kenya;Gazi Mangrove;Gazi;4° 25' 0S;39° 30' 0E;-4.41670;39.50000;;Brown;;4;1972;;;;;;
4117;1;Melampus;liberianus;;DR Congo;Banana;Banana;6° 1' 0S;12° 24' 0E;-6.01670;12.40000;;Schelz;;;;;;;(MCB);;
